activity_type,pressure_cat,biotic_group,service_division,service_section,n_services,RCSES
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Marine mammals,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.262298223143237e-8
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Marine mammals,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,2.1038303719053948e-9
Non-Renewable Energy,Energy,Marine mammals,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,6.464422248537486e-9
Non-Renewable Energy,Energy,Marine mammals,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.0774037080895809e-9
Non-Renewable Energy,Physical change,Marine mammals,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,2.9757206489144924e-11
Non-Renewable Energy,Physical change,Marine mammals,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,4.959534414857487e-12
Non-Renewable Energy,Biological disturbance,Marine mammals,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,7.107603145612536e-8
Non-Renewable Energy,Biological disturbance,Marine mammals,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,2.2659570183783676e-5
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Marine mammals,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,6.9853031465153755e-6
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Marine mammals,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,0.002226966864366611
Non-Renewable Energy,Energy,Marine mammals,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,3.5772805700914716e-6
Non-Renewable Energy,Energy,Marine mammals,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,0.0011404637890497702
Non-Renewable Energy,Physical change,Marine mammals,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,1.6467036418900587e-8
Non-Renewable Energy,Physical change,Marine mammals,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,5.2498143158616464e-6
Non-Renewable Energy,Biological disturbance,Macrophytes,Biomass,Provisioning,18,8.884832166412724e-7
Non-Renewable Energy,Biological disturbance,Macrophytes,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,8.860565201904305e-8
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Macrophytes,Biomass,Provisioning,18,9.511871637372501e-5
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Macrophytes,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,9.485892052490149e-6
Non-Renewable Energy,Energy,Macrophytes,Biomass,Provisioning,18,8.971278426352211e-6
Non-Renewable Energy,Energy,Macrophytes,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,8.946775352901885e-7
Non-Renewable Energy,Physical change,Macrophytes,Biomass,Provisioning,18,1.2501246125527561e-5
Non-Renewable Energy,Physical change,Macrophytes,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.246710172185655e-6
Non-Renewable Energy,Biological disturbance,Macrophytes,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,6.162187523411447e-8
Non-Renewable Energy,Biological disturbance,Macrophytes,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,3.664981446030945e-9
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Macrophytes,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,6.5970786651081525e-6
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Macrophytes,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,3.923634393430906e-7
Non-Renewable Energy,Energy,Macrophytes,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,6.222143418409492e-7
Non-Renewable Energy,Energy,Macrophytes,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,3.700640413226147e-8
Non-Renewable Energy,Physical change,Macrophytes,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,8.670397083361535e-7
Non-Renewable Energy,Physical change,Macrophytes,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,5.156747391979541e-8
Non-Renewable Energy,Biological disturbance,Macrophytes,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,6.825984081843576e-9
Non-Renewable Energy,Biological disturbance,Macrophytes,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,2.871353703306216e-6
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Macrophytes,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,7.307722100895789e-7
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Macrophytes,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,3.073997047979147e-4
Non-Renewable Energy,Energy,Macrophytes,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,6.89239848148891e-8
Non-Renewable Energy,Energy,Macrophytes,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,2.899290954563764e-5
Non-Renewable Energy,Physical change,Macrophytes,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,9.604380303169348e-8
Non-Renewable Energy,Physical change,Macrophytes,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,4.040087498126479e-5
Non-Renewable Energy,Biological disturbance,Macroalgae,Biomass,Provisioning,18,2.301325610068545e-5
Non-Renewable Energy,Biological disturbance,Macroalgae,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.079541768988474e-6
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Macroalgae,Biomass,Provisioning,18,0.002460734812213634
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Macroalgae,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.154319927856495e-4
Non-Renewable Energy,Energy,Macroalgae,Biomass,Provisioning,18,2.3280384644079936e-4
Non-Renewable Energy,Energy,Macroalgae,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.0920726520161396e-5
Non-Renewable Energy,Physical change,Macroalgae,Biomass,Provisioning,18,0.002478492430770814
Non-Renewable Energy,Physical change,Macroalgae,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.1626499489827406e-4
Non-Renewable Energy,Biological disturbance,Macroalgae,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,7.507804150498867e-7
Non-Renewable Energy,Biological disturbance,Macroalgae,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,4.465291393271226e-8
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Macroalgae,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,8.027857924835026e-5
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Macroalgae,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,4.774595098593264e-6
Non-Renewable Energy,Energy,Macroalgae,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,7.5949516961586105e-6
Non-Renewable Energy,Energy,Macroalgae,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,4.517122684788508e-7
Non-Renewable Energy,Physical change,Macroalgae,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,8.085790066954891e-5
Non-Renewable Energy,Physical change,Macroalgae,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,4.809050432059096e-6
Non-Renewable Energy,Biological disturbance,Macroalgae,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,8.316551780711296e-8
Non-Renewable Energy,Biological disturbance,Macroalgae,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,3.4983617699609093e-6
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Macroalgae,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,8.89262623022043e-6
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Macroalgae,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,3.7406877824662586e-4
Non-Renewable Energy,Energy,Macroalgae,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,8.413086940861018e-7
Non-Renewable Energy,Energy,Macroalgae,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,3.538969334565763e-5
Non-Renewable Energy,Physical change,Macroalgae,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,8.956798876449536e-6
Non-Renewable Energy,Physical change,Macroalgae,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,3.767682039000056e-4
Non-Renewable Energy,Biological disturbance,Infauna,Biomass,Provisioning,18,7.314448968373116e-6
Non-Renewable Energy,Biological disturbance,Infauna,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,7.472536283264113e-6
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Infauna,Biomass,Provisioning,18,7.673561125589969e-4
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Infauna,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,7.839409937884885e-4
Non-Renewable Energy,Energy,Infauna,Biomass,Provisioning,18,7.027353359252988e-5
Non-Renewable Energy,Energy,Infauna,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,7.179235671667511e-5
Non-Renewable Energy,Physical change,Infauna,Biomass,Provisioning,18,9.81511210232005e-5
Non-Renewable Energy,Physical change,Infauna,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.0027246293742951e-4
Non-Renewable Energy,Biological disturbance,Infauna,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.4506204727845438e-5
Non-Renewable Energy,Biological disturbance,Infauna,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,2.778766854152179e-6
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Infauna,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,0.001521840526343883
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Infauna,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,2.9151939402815707e-4
Non-Renewable Energy,Energy,Infauna,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.393682927654765e-4
Non-Renewable Energy,Energy,Infauna,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,2.669698930369387e-5
Non-Renewable Energy,Physical change,Infauna,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.9465584652875954e-4
Non-Renewable Energy,Physical change,Infauna,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,3.72877140815997e-5
Non-Renewable Energy,Biological disturbance,Infauna,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,1.649916345593628e-5
Non-Renewable Energy,Biological disturbance,Infauna,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,2.8537988007702058e-6
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Infauna,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,0.0017309210830188802
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Infauna,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,2.993909675565932e-4
Non-Renewable Energy,Energy,Infauna,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,1.585156342443204e-4
Non-Renewable Energy,Energy,Infauna,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,2.7417858373117094e-5
Non-Renewable Energy,Physical change,Infauna,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,2.2139895925821996e-4
Non-Renewable Energy,Physical change,Infauna,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,3.8294552697188577e-5
Non-Renewable Energy,Biological disturbance,Fish,Biomass,Provisioning,18,5.092491462560638e-5
Non-Renewable Energy,Biological disturbance,Fish,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,2.37551758213711e-6
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Fish,Biomass,Provisioning,18,0.005006755543421996
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Fish,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,2.335523959205807e-4
Non-Renewable Energy,Energy,Fish,Biomass,Provisioning,18,0.0025630680820467916
Non-Renewable Energy,Energy,Fish,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.1956059893039233e-4
Non-Renewable Energy,Physical change,Fish,Biomass,Provisioning,18,1.1797927493655091e-5
Non-Renewable Energy,Physical change,Fish,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,5.503432730324928e-7
Non-Renewable Energy,Biological disturbance,Fish,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,2.8357701104056616e-5
Non-Renewable Energy,Biological disturbance,Fish,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.0329746604122395e-7
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Fish,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,0.002788027790429485
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Fish,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.0155837560565867e-5
Non-Renewable Energy,Energy,Fish,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,0.0014272526348720438
Non-Renewable Energy,Energy,Fish,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,5.1989962106572875e-6
Non-Renewable Energy,Physical change,Fish,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,6.5697135473286844e-6
Non-Renewable Energy,Physical change,Fish,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,2.3931233338187413e-8
Non-Renewable Energy,Biological disturbance,Fish,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,1.1063270639464724e-5
Non-Renewable Energy,Biological disturbance,Fish,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,1.7039483782148508e-5
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Fish,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,0.0010877012167766252
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Fish,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,0.0016752611272994428
Non-Renewable Energy,Energy,Fish,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,5.568181324902868e-4
Non-Renewable Energy,Energy,Fish,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,8.576029501013376e-4
Non-Renewable Energy,Physical change,Fish,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,2.563061044022984e-6
Non-Renewable Energy,Physical change,Fish,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,3.947588241807605e-6
Non-Renewable Energy,Biological disturbance,Epifauna,Biomass,Provisioning,18,1.121439127945842e-5
Non-Renewable Energy,Biological disturbance,Epifauna,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,6.516364856783459e-6
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Epifauna,Biomass,Provisioning,18,0.0011787410351082417
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Epifauna,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,6.849329994841102e-4
Non-Renewable Energy,Energy,Epifauna,Biomass,Provisioning,18,1.0868206260420668e-4
Non-Renewable Energy,Energy,Epifauna,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,6.315206556186741e-5
Non-Renewable Energy,Physical change,Epifauna,Biomass,Provisioning,18,9.772599954965568e-4
Non-Renewable Energy,Physical change,Epifauna,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,5.678580791325541e-4
Non-Renewable Energy,Biological disturbance,Epifauna,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,9.330198168133291e-6
Non-Renewable Energy,Biological disturbance,Epifauna,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,8.012639121098578e-7
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Epifauna,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,9.806941074559671e-4
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Epifauna,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,8.422059027718045e-5
Non-Renewable Energy,Energy,Epifauna,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,9.042177646111947e-5
Non-Renewable Energy,Energy,Epifauna,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,7.765291266225612e-6
Non-Renewable Energy,Physical change,Epifauna,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,8.130650333624048e-4
Non-Renewable Energy,Physical change,Epifauna,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,6.98248480570092e-5
Non-Renewable Energy,Biological disturbance,Epifauna,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,3.0348042270112383e-5
Non-Renewable Energy,Biological disturbance,Epifauna,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,4.4483619402887705e-6
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Epifauna,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,0.0031898728934584243
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Epifauna,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,4.675658827453822e-4
Non-Renewable Energy,Energy,Epifauna,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,2.9411206972570965e-4
Non-Renewable Energy,Energy,Epifauna,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,4.311042292292678e-5
Non-Renewable Energy,Physical change,Epifauna,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,0.002644631073872395
Non-Renewable Energy,Physical change,Epifauna,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,3.876453087290173e-4
Non-Renewable Energy,Biological disturbance,Cephalopods,Biomass,Provisioning,18,1.6854181998606914e-8
Non-Renewable Energy,Biological disturbance,Cephalopods,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,5.323353250781389e-9
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Cephalopods,Biomass,Provisioning,18,1.6570429184173338e-6
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Cephalopods,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,5.233730600019804e-7
Non-Renewable Energy,Energy,Cephalopods,Biomass,Provisioning,18,8.482766490081789e-7
Non-Renewable Energy,Energy,Cephalopods,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,2.67926159657756e-7
Non-Renewable Energy,Physical change,Cephalopods,Biomass,Provisioning,18,3.904658822627599e-9
Non-Renewable Energy,Physical change,Cephalopods,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.2332771912837374e-9
Non-Renewable Energy,Biological disturbance,Cephalopods,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,6.368499605942628e-9
Non-Renewable Energy,Biological disturbance,Cephalopods,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.061416600990438e-9
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Cephalopods,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,6.261281131201185e-7
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Cephalopods,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.0435468552001975e-7
Non-Renewable Energy,Energy,Cephalopods,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,3.20528727255078e-7
Non-Renewable Energy,Energy,Cephalopods,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,5.3421454542513e-8
Non-Renewable Energy,Physical change,Cephalopods,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.4754093776428691e-9
Non-Renewable Energy,Physical change,Cephalopods,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,2.4590156294047815e-10
Non-Renewable Energy,Biological disturbance,Cephalopods,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,2.4791943518214548e-8
Non-Renewable Energy,Biological disturbance,Cephalopods,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,1.7039483782148508e-5
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Cephalopods,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,2.43745525259283e-6
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Cephalopods,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,0.0016752611272994428
Non-Renewable Energy,Energy,Cephalopods,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,1.2477868562098925e-6
Non-Renewable Energy,Energy,Cephalopods,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,8.576029501013376e-4
Non-Renewable Energy,Physical change,Cephalopods,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,5.74362380781713e-9
Non-Renewable Energy,Physical change,Cephalopods,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,3.947588241807605e-6
Non-Renewable Energy,Biological disturbance,Birds,Biomass,Provisioning,18,8.44141087989109e-13
Non-Renewable Energy,Biological disturbance,Birds,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.0214163595245716e-9
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Birds,Biomass,Provisioning,18,3.6584224611358e-11
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Birds,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,4.426715634418287e-8
Non-Renewable Energy,Energy,Birds,Biomass,Provisioning,18,4.1738339676589106e-11
Non-Renewable Energy,Energy,Birds,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,5.050367002821649e-8
Non-Renewable Energy,Physical change,Birds,Biomass,Provisioning,18,9.53789582639718e-13
Non-Renewable Energy,Physical change,Birds,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.1540917710486929e-9
Non-Renewable Energy,Biological disturbance,Birds,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,4.615749940996581e-9
Non-Renewable Energy,Biological disturbance,Birds,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,8.475878579502618e-11
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Birds,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,2.000419538794681e-7
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Birds,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,3.67336041502013e-9
Non-Renewable Energy,Energy,Birds,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,2.2822457245677515e-7
Non-Renewable Energy,Energy,Birds,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,4.1908764333643015e-9
Non-Renewable Energy,Physical change,Birds,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,5.215306152529365e-9
Non-Renewable Energy,Physical change,Birds,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,9.576840658362823e-11
Non-Renewable Energy,Biological disturbance,Birds,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,4.756944636389944e-9
Non-Renewable Energy,Biological disturbance,Birds,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,2.4762021546851296e-5
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Birds,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,2.0616118977936747e-7
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Birds,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,0.001073161075785689
Non-Renewable Energy,Energy,Birds,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,2.3520590797131505e-7
Non-Renewable Energy,Energy,Birds,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,0.001224351806951532
Non-Renewable Energy,Physical change,Birds,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,5.374841130160872e-9
Non-Renewable Energy,Physical change,Birds,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,2.7978448783660816e-5
Non-Renewable Energy,Biological disturbance,Bacteria,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.5359187300751713e-8
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Bacteria,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.614399202431232e-6
Non-Renewable Energy,Energy,Bacteria,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.488505362593919e-7
Non-Renewable Energy,Physical change,Bacteria,"Genetic material from all biota (including seed, spore or gamete production)",Provisioning,18,1.3384515430505175e-6
Non-Renewable Energy,Biological disturbance,Bacteria,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.43895981585745e-5
Non-Renewable Energy,Biological disturbance,Bacteria,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.4498721882770597e-5
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Bacteria,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,0.0015124860017412278
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Bacteria,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,0.0015239559610469445
Non-Renewable Energy,Energy,Bacteria,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,1.3945395420473473e-4
Non-Renewable Energy,Energy,Bacteria,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,1.4051150526828715e-4
Non-Renewable Energy,Physical change,Bacteria,"Regulation of physical, chemical, biological conditions","Regulation &
Maintenance",16,0.0012539582649843922
Non-Renewable Energy,Physical change,Bacteria,Transformation of biochemical or physical inputs to ecosystems,"Regulation &
Maintenance",16,0.001263467675487286
Non-Renewable Energy,Biological disturbance,Bacteria,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,7.655447452769051e-8
Non-Renewable Energy,Biological disturbance,Bacteria,"Indirect, remote, often indoor interactions with living systems that do not require presence in the environmental setting",Cultural,11,2.3208844905854454e-6
Non-Renewable Energy,"Chemical changes, chemicals and other pollutants",Bacteria,"Direct, in-situ and outdoor interactions with living systems that depend on presence in the environmental setting",Cultural,11,8.046616022059766e-6
